streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Heinrich-Heine-Straße	Heinrich Heine	männlich	Schriftsteller	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Dichter	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Dichterjurist	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Journalist	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Publizist	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Literaturkritiker	Point(13.77354 51.00892)	01219
Heinrich-Heine-Straße	Heinrich Heine	männlich	Essayist	Point(13.77354 51.00892)	01219
Hebbelstraße	Friedrich Hebbel	männlich	Schriftsteller	Point(13.68592 51.05469)	01157
Hebbelstraße	Friedrich Hebbel	männlich	Dichter	Point(13.68592 51.05469)	01157
Hebbelstraße	Friedrich Hebbel	männlich	Dramatiker	Point(13.68592 51.05469)	01157
Hebbelstraße	Friedrich Hebbel	männlich	Dichterjurist	Point(13.68592 51.05469)	01157
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Schriftsteller	Point(13.73032 51.03717)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Bibliothekar	Point(13.73032 51.03717)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Historiker	Point(13.73032 51.03717)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Hauslehrer	Point(13.73032 51.03717)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Kunsthistoriker	Point(13.73032 51.03717)	01069
Winckelmannstraße	Johann Joachim Winckelmann	männlich	Archäologe	Point(13.73032 51.03717)	01069
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Schriftsteller	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Dichter	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Bibliothekar	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Historiker	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Dramatiker	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Philosoph	Point(13.76796 51.0101)	01219
Ricarda-Huch-Straße	Ricarda Huch	weiblich	Romancier	Point(13.76796 51.0101)	01219
Semperstraße	Gottfried Semper	männlich	Lehrer	Point(13.74589 51.03372)	01069
