streetLabel	personLabel	genderLabel	coordinate	postalCode
Emerich-Ambros-Ufer	Emerich Ambros	männlich	Point(13.6982 51.0527)	01159
Erich Kästner Museum	Erich Kästner	männlich	Point(13.7457 51.0638)	01097
Fetscherstraße	Rainer Fetscher	männlich	Point(13.7772 51.0522)	01307
Kraszewski-Museum	Józef Ignacy Kraszewski	männlich	Point(13.76305556 51.07038889)	01099
Albertplatz	Albert von Sachsen	männlich	Point(13.7469 51.0633)	01097
Carolabrücke	Carola von Wasa-Holstein-Gottorp	weiblich	Point(13.74703 51.05456)	01067
Carolabrücke	Carola von Wasa-Holstein-Gottorp	weiblich	Point(13.74703 51.05456)	01097
Christuskirche Strehlen	Jesus Christus	männlich	Point(13.76525 51.0273)	01219
Bertheltstraße	August Berthelt	männlich	Point(13.76325 51.046035)	01307
Hähnelstraße	Ernst Hähnel	männlich	Point(13.76457 51.045695)	01307
Nicolaistraße	Hermann Nicolai	männlich	Point(13.768446 51.0468)	01307
Marie-Stritt-Straße	Marie Stritt	weiblich	Point(13.781325 51.042966)	01309
Karl-Roth-Straße	Karl Roth	männlich	Point(13.782229 51.038905)	01309
Stresemannplatz	Gustav Stresemann	männlich	Point(13.773974 51.043068)	01309
Henzestraße	Robert Henze	männlich	Point(13.771195 51.042548)	01309
Wallotstraße	Paul Wallot	männlich	Point(13.770335 51.044551)	01307
Wallotstraße	Paul Wallot	männlich	Point(13.770335 51.044551)	01309
Reinickstraße	Robert Reinick	männlich	Point(13.773404 51.044427)	01309
Paul-Gerhardt-Straße	Paul Gerhardt	männlich	Point(13.781398 51.05059)	01309
Spenerstraße	Philipp Jacob Spener	männlich	Point(13.785726 51.048666)	01309
Haydnstraße	Joseph Haydn	männlich	Point(13.777127 51.04674)	01309
Regerstraße	Max Reger	männlich	Point(13.800402 51.052291)	01309
Paulusplatz	Friedrich Heinrich Paulus	männlich	Point(13.800468 51.050655)	01309
Brucknerstraße	Anton Bruckner	männlich	Point(13.804215 51.049564)	01309
Tannenstraße	Lothar von Hausen	männlich	Point(13.754028 51.073549)	01097
